,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
40,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.19047619047619047,0.0,0.72,1.0,1.0,1,0.5148571428571428
565,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.12698412698412698,0.0,0.08,1.0,1.0,1,0.5143492063492063
865,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.0,1.0,1.0,1,0.5142857142857142
76,0.6666666666666666,0.6666666666666666,0.0,0.0,0.047619047619047616,0.778,0.0,1.0,1.0,1,0.5135142857142857
1079,1.0,1.0,1.0,1.0,0.2698412698412698,0.0,1.0,0.0,0.0,0,0.5134920634920636
593,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.25396825396825395,0.0,0.0,1.0,1.0,1,0.5126984126984127
97,0.6666666666666666,0.6666666666666666,0.0,0.0,0.20634920634920634,0.8325,0.8480000000000001,1.0,1.0,0,0.5117007936507937
1123,0.6666666666666666,0.6666666666666666,0.0,0.0,0.09523809523809523,0.0,0.734,1.0,1.0,1,0.5114952380952381
564,0.6666666666666666,0.6666666666666666,0.0,0.0,0.14285714285714285,0.0,0.7,1.0,1.0,1,0.5104761904761904
1114,0.6666666666666666,0.3333333333333333,0.0,0.0,0.20634920634920634,0.0,1.0,1.0,1.0,1,0.5103174603174603
772,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.0,0.0,1.0,1.0,1,0.5095238095238095
364,1.0,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,1.0,1.0,1,0.5095238095238095
553,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.07936507936507936,0.0,0.72,1.0,1.0,1,0.5093015873015873
20,1.0,1.0,1.0,1.0,0.1746031746031746,0.0,0.0,0.0,0.0,1,0.5087301587301588
272,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.15873015873015872,0.0,0.0,1.0,0.0,1,0.5079365079365079
169,1.0,1.0,0.0,0.0,0.15873015873015872,0.0,0.0,1.0,1.0,1,0.5079365079365079
1116,0.6666666666666666,0.6666666666666666,0.0,0.0,0.09523809523809523,0.0,0.693,1.0,1.0,1,0.5073952380952381
643,1.0,0.6666666666666666,0.3333333333333333,0.0,0.14285714285714285,0.0,0.0,1.0,1.0,1,0.5071428571428571
429,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.14285714285714285,0.0,0.0,1.0,1.0,1,0.5071428571428571
793,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.14285714285714285,0.0,0.0,1.0,1.0,1,0.5071428571428571
286,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.12698412698412698,0.0,0.0,1.0,1.0,1,0.5063492063492063
765,1.0,1.0,1.0,0.0,0.12698412698412698,0.0,0.0,1.0,0.0,1,0.5063492063492063
224,1.0,0.6666666666666666,0.0,0.3333333333333333,0.12698412698412698,0.0,0.0,1.0,1.0,1,0.5063492063492063
